id,unit,fieldName,fieldType,precision,description,databaseName
54,C,Digital Temperature String Value 45,isGeneral,3,DS28EAOO temperature chip located approximately 20 cm below freeboard,dtc_values_45
55,C,Digital Temperature String Value 46,isGeneral,3,DS28EAOO temperature chip located approximately 22 cm below freeboard,dtc_values_46
56,C,Digital Temperature String Value 47,isGeneral,3,DS28EAOO temperature chip located approximately 24 cm below freeboard,dtc_values_47
57,C,Digital Temperature String Value 48,isGeneral,3,DS28EAOO temperature chip located approximately 26 cm below freeboard,dtc_values_48
58,C,Digital Temperature String Value 49,isGeneral,3,DS28EAOO temperature chip located approximately 28 cm below freeboard,dtc_values_49
59,C,Digital Temperature String Value 50,isGeneral,3,DS28EAOO temperature chip located approximately 30 cm below freeboard,dtc_values_50
60,C,Digital Temperature String Value 51,isGeneral,3,DS28EAOO temperature chip located approximately 32 cm below freeboard,dtc_values_51
61,C,Digital Temperature String Value 52,isGeneral,3,DS28EAOO temperature chip located approximately 34 cm below freeboard,dtc_values_52
62,C,Digital Temperature String Value 53,isGeneral,3,DS28EAOO temperature chip located approximately 36 cm below freeboard,dtc_values_53
63,C,Digital Temperature String Value 54,isGeneral,3,DS28EAOO temperature chip located approximately 38 cm below freeboard,dtc_values_54
64,C,Digital Temperature String Value 55,isGeneral,3,DS28EAOO temperature chip located approximately 40 cm below freeboard,dtc_values_55
65,C,Digital Temperature String Value 56,isGeneral,3,DS28EAOO temperature chip located approximately 42 cm below freeboard,dtc_values_56
66,C,Digital Temperature String Value 57,isGeneral,3,DS28EAOO temperature chip located approximately 44 cm below freeboard,dtc_values_57
67,C,Digital Temperature String Value 58,isGeneral,3,DS28EAOO temperature chip located approximately 46 cm below freeboard,dtc_values_58
68,C,Digital Temperature String Value 59,isGeneral,3,DS28EAOO temperature chip located approximately 48 cm below freeboard,dtc_values_59
69,C,Digital Temperature String Value 60,isGeneral,3,DS28EAOO temperature chip located approximately 50 cm below freeboard,dtc_values_60
70,C,Digital Temperature String Value 61,isGeneral,3,DS28EAOO temperature chip located approximately 52 cm below freeboard,dtc_values_61
71,C,Digital Temperature String Value 62,isGeneral,3,DS28EAOO temperature chip located approximately 54 cm below freeboard,dtc_values_62
72,C,Digital Temperature String Value 63,isGeneral,3,DS28EAOO temperature chip located approximately 56 cm below freeboard,dtc_values_63
73,C,Digital Temperature String Value 64,isGeneral,3,DS28EAOO temperature chip located approximately 58 cm below freeboard,dtc_values_64
74,C,Digital Temperature String Value 65,isGeneral,3,DS28EAOO temperature chip located approximately 60 cm below freeboard,dtc_values_65
75,C,Digital Temperature String Value 66,isGeneral,3,DS28EAOO temperature chip located approximately 62 cm below freeboard,dtc_values_66
76,C,Digital Temperature String Value 67,isGeneral,3,DS28EAOO temperature chip located approximately 64 cm below freeboard,dtc_values_67
77,C,Digital Temperature String Value 68,isGeneral,3,DS28EAOO temperature chip located approximately 66 cm below freeboard,dtc_values_68
78,C,Digital Temperature String Value 69,isGeneral,3,DS28EAOO temperature chip located approximately 68 cm below freeboard,dtc_values_69
79,C,Digital Temperature String Value 70,isGeneral,3,DS28EAOO temperature chip located approximately 70 cm below freeboard,dtc_values_70
80,C,Digital Temperature String Value 71,isGeneral,3,DS28EAOO temperature chip located approximately 72 cm below freeboard,dtc_values_71
81,C,Digital Temperature String Value 72,isGeneral,3,DS28EAOO temperature chip located approximately 74 cm below freeboard,dtc_values_72
82,C,Digital Temperature String Value 73,isGeneral,3,DS28EAOO temperature chip located approximately 76 cm below freeboard,dtc_values_73
83,C,Digital Temperature String Value 74,isGeneral,3,DS28EAOO temperature chip located approximately 78 cm below freeboard,dtc_values_74
84,C,Digital Temperature String Value 75,isGeneral,3,DS28EAOO temperature chip located approximately 80 cm below freeboard,dtc_values_75
85,C,Digital Temperature String Value 76,isGeneral,3,DS28EAOO temperature chip located approximately 82 cm below freeboard,dtc_values_76
86,C,Digital Temperature String Value 77,isGeneral,3,DS28EAOO temperature chip located approximately 84 cm below freeboard,dtc_values_77
87,C,Digital Temperature String Value 78,isGeneral,3,DS28EAOO temperature chip located approximately 86 cm below freeboard,dtc_values_78
88,C,Digital Temperature String Value 79,isGeneral,3,DS28EAOO temperature chip located approximately 88 cm below freeboard,dtc_values_79
89,C,Digital Temperature String Value 80,isGeneral,3,DS28EAOO temperature chip located approximately 90 cm below freeboard,dtc_values_80
90,C,Digital Temperature String Value 81,isGeneral,3,DS28EAOO temperature chip located approximately 92 cm below freeboard,dtc_values_81
91,C,Digital Temperature String Value 82,isGeneral,3,DS28EAOO temperature chip located approximately 94 cm below freeboard,dtc_values_82
92,C,Digital Temperature String Value 83,isGeneral,3,DS28EAOO temperature chip located approximately 96 cm below freeboard,dtc_values_83
93,C,Digital Temperature String Value 84,isGeneral,3,DS28EAOO temperature chip located approximately 98 cm below freeboard,dtc_values_84
94,C,Digital Temperature String Value 85,isGeneral,3,DS28EAOO temperature chip located approximately 100 cm below freeboard,dtc_values_85
95,C,Digital Temperature String Value 86,isGeneral,3,DS28EAOO temperature chip located approximately 102 cm below freeboard,dtc_values_86
96,C,Digital Temperature String Value 87,isGeneral,3,DS28EAOO temperature chip located approximately 104 cm below freeboard,dtc_values_87
97,C,Digital Temperature String Value 88,isGeneral,3,DS28EAOO temperature chip located approximately 106 cm below freeboard,dtc_values_88
98,C,Digital Temperature String Value 89,isGeneral,3,DS28EAOO temperature chip located approximately 108 cm below freeboard,dtc_values_89
99,C,Digital Temperature String Value 90,isGeneral,3,DS28EAOO temperature chip located approximately 110 cm below freeboard,dtc_values_90
100,C,Digital Temperature String Value 91,isGeneral,3,DS28EAOO temperature chip located approximately 112 cm below freeboard,dtc_values_91
101,C,Digital Temperature String Value 92,isGeneral,3,DS28EAOO temperature chip located approximately 114 cm below freeboard,dtc_values_92
102,C,Digital Temperature String Value 93,isGeneral,3,DS28EAOO temperature chip located approximately 116 cm below freeboard,dtc_values_93
103,C,Digital Temperature String Value 94,isGeneral,3,DS28EAOO temperature chip located approximately 118 cm below freeboard,dtc_values_94
104,C,Digital Temperature String Value 95,isGeneral,3,DS28EAOO temperature chip located approximately 120 cm below freeboard,dtc_values_95
105,C,Digital Temperature String Value 96,isGeneral,3,DS28EAOO temperature chip located approximately 122 cm below freeboard,dtc_values_96
106,C,Digital Temperature String Value 97,isGeneral,3,DS28EAOO temperature chip located approximately 124 cm below freeboard,dtc_values_97
107,C,Digital Temperature String Value 98,isGeneral,3,DS28EAOO temperature chip located approximately 126 cm below freeboard,dtc_values_98
108,C,Digital Temperature String Value 99,isGeneral,3,DS28EAOO temperature chip located approximately 128 cm below freeboard,dtc_values_99
109,C,Digital Temperature String Value 100,isGeneral,3,DS28EAOO temperature chip located approximately 130 cm below freeboard,dtc_values_100
110,C,Digital Temperature String Value 101,isGeneral,3,DS28EAOO temperature chip located approximately 132 cm below freeboard,dtc_values_101
111,C,Digital Temperature String Value 102,isGeneral,3,DS28EAOO temperature chip located approximately 134 cm below freeboard,dtc_values_102
112,C,Digital Temperature String Value 103,isGeneral,3,DS28EAOO temperature chip located approximately 136 cm below freeboard,dtc_values_103
113,C,Digital Temperature String Value 104,isGeneral,3,DS28EAOO temperature chip located approximately 138 cm below freeboard,dtc_values_104
